Nagendra V Chowdary,Corporate Communication,ICFAI university,-,163,-
Asha Kavl,Buisness Communication,Prentice- Hall of India Pvt Ltd,1998,121,-
R K Madhvkar,Buisness Communication and Customer Relations,Vikas Publishing House Pvt Ltd,-,247,150
"Urmila Rai, SM Rai",Buisness Communication,Himalayan Publicating House,1999,365,125
Varinder Kumar,Buisness Communication,Kalyani Publishers,2008,21.5,95
"MK Sehgal, Vandana Khetarpal",Buisness Communication,Excel books publications,2006,476,295
"Lesikar, Flatley",Buisness Communication,Tata McGraw- Hill Edition,-,592,-
K.K Sinha,Buisness Communication,Galgotia Publishing House,-,654,250
"Rajendra Pal, J S Korlahalli",Buisness Communication,Sultan Chand and Sons,-,OC-72,-
"Dr KGC Nair, Dr Jayan, Dr. Yohannan",Buisness Communication and Management Information System,Chand Books,-,5.46,80
Rajendra Pal  & J.S. Korlahalli,Business Communication,Sultan Chand & Sons,,OC-72,110
M. S. Ramesh & C.C. Pattanshetti,Business Communication,R Chand & Co.,1977,750,
"P.N. Reddy,H. R. Appannaiah,H.L.Nagaraj & B.S. Raja Rao",Essentials of Business Communication,Himalaya Publications,1999,333,110
Lesikan & Pettit,Business Communication - Theory & Application,Richard D Irwin & Inc.,2002,754,285
