Author,Title,Publisher & Place,Year,No of Pages,Price
Dr. K V Venugopal,Entrepreneurship Development & Project Management,"Prathibha Publications, Changanachery",7/5/1905,158,80
M M Abraham,Entrepreneurship Development & Project Management,Prakash Publication,7/2/1905,228,100
R V Badi & N V Badi,Entrepreneurship,Vrinda Publication,6/27/1905,643,250
Vijay Sathe,Corporate Entrepreneurship,Cambridge University Press,6/26/1905,387,4570
K R Sharma,Project Management,National Publishing House,6/22/1905,389,150
D Gopalakrishnan & V E Ramamurthi,Project Management,MC Millian Publication India Ltd.,6/23/1905,400,218
Harvey Maylor,Project Management,MC Millian Publication India Ltd.,6/23/1905,254,155
Dr. Vasant Desai,Project Management,Himalaya Publishing House,6/23/1905,591,240
Jack R Medredith & Samuel J Manttera,Project Management,John Willy & Sons,7/18/1900,616,
K Nagaraja,Project Management,NewAge International (P) Ltd,6/23/1905,508,
Dr. Vasant Desai,Project Management & Entrepreneurship,Himalaya Publishing House,6/24/1905,328,190
Prasanna Chandra,Project Management,Tata Megraw Hill Publihing Company Ltd.,6/24/1905,745,
Dr. PT Vijayashan & Dr. H Alagarasi,Entrepreneurship and Small Business Management,Margham Publcation,7/8/1905,,150
