D.N. Dwivedi,Essentials of Business Economics,Vikas Publishing House Prvt. Ltd,2009,452,395
D.N. Dwivedi,Managerial Economics,Vikas Publishing House Prvt. Ltd,2002,650,185
D.N. Dwivedi,Managerial Economics,Vikas Publishing House Prvt. Ltd,,779,225
Paul A Samuelson & William D Norohaus,Economics,Tata Mcgraw Hill Publishing Co. Ltd,2002,792,
Ruddar Datt & K.P.M Sundharam,Indian Economy,S. Chand & Co.,2002,942,250
Ruddar Datt & K.P.M Sundharam,Indian Economy,S. Chand & Co.,,960,230
D.N. Dwivedi,Managerial Economics,Vikas Publishing House Prvt. Ltd,2015,831,550
"K K Dewett,J D Varma & M.L Sharma",Indian Economics,S. Chand & Co. Ltd,,690,180
I.C. Dhingra ,Managerial Economics,Sultan Chand,2002,1.8,170
 H Craig Peterson & W Cris Lewis,Managerial Economics,Prentice Hall of India,2002,672,250
S.K Misra & V.K Puri,Indian Economy,Himalyala  Publishing House,2001,955,275
Adam Smith,The Wealth of Nations,Finger Print Classics,2020,1143,249
