Tata Mcgraw Hill Publishing Company Limited,2001,1124,
Mcgraw Hill Education (India) Prvt. Ltd,2015,1070,672
Tata Mcgraw Hill Publishing Company Limited,1998,30.13,
Vikas Publishing House Pvt. Ltd,2013,318,
Vikas Publishing House Pvt. Ltd,2013,238,
Vikas Publishing House Pvt. Ltd,1999,228,
S Chand & Company,1999,776,250
Vrinda Publication Private Limited,2008,987,300
Sultan Chand & Sons,2002,G.36,300
Prentice Hall of India,2002,814,325
Prentice Hall of India,2002,446,295
Himalaya Publishing House,2002,862,325
Prentice Hall of India,2000,737,325
Prathibha Publications,2014,206,100
Vikas Publishing House Pvt. Ltd,2018,921,750
Mcgraw Hill ,2019,I-10,
Margham Publications,2019,,250
McGraw- Hill Education (India) Private Limited,2019,1446,538
Vikas Publishing House PVT LTD,2017,921,599
McGrawHill,2019,1.6,
