HARLEY HAHN,THE INTERNET,TATA MC GRAW HILL,1997,802,
BEHROUZ A FOROUZAN,DATA COMMUNICATIONS & NETWORKING,TATA MC GRAW HILL,2001,908,
IVAN BAYROSS,"HTML, DHTML,JAVASCRIPT,PERL CGI",BPB PUBLICATIONS,2005,427,390
A.K.NADHANI & K.K.NADHANI,IMPLEMENTING TALLY,BPB PUBLICATIONS,2007,1065,540
DINESH MAIDASANI,M.S.OFFICE 2000,FIREWALL MEDIA,2007,290,150
"TANEVEER SIDDQUI, V.S.TIWARY",NATURAL LANGUAGE PROCESSING & INFROMATION RETRIEVAL,OXFORD UNIVERSITY PRESS,2008,406,275
ELIAS AWAD,SYSTEM ANALYSIS & DESIGN,GALGOTIA PUBLICATIONS LTD,1997,524,200
SISO BOOKS,DTP PAGEMAKER,SISO BOOKS,2007,254,185
"CARL HAMACHER, ZUONKO VRANESIC, SAFWAF ZAKY",COMPUTER ORGANIZATION,MC GRAW HILL,2002,805,395
"DANIEL MINALI, EMMI MINALI",WEB COMMERCE TECHNOLOGY HAND BOOK,TATA MC GRAW HILL,2008,621,325
KALAKOTA & WHINSTON,FRONIERS OF E-COMMERCE,PEARSON EDUCATION ASIA,2002,850,325
VIKAS GUPTA,ENCYCLOPEDIA OF COMPUTERS,DREAMTECH PRESS,2007,432,1050
VIKAS GUPTA,COMDEX COMPUTER COURSE KIT,DREAMTECH PRESS,2003,560,199
LOUISE PILE,E-MAILING,VIVA BOOKS,2009/2007,,195
"PRAG DIWAN, SUNIL SHARMA",E-COMMERCE,EXCEL BOOKS,2000,363,250
VIKAS GUPTA,COMDEX COMPUTER COURSE,DREAMTECH PRESS,2007,560,199
RAJARAMAN,FUNDAMENTALS OF COMPUTERS,EASTERN ECONOMY EDITION,2000,351,125
PETER NORTON,INTRODUCTION TO COMPUTERS,TATA MC GRAW HILL CO'S,2008,609,580
P K SINHA,COMPUTER FUNDAMENTALS,TATA MC GRAW HILL,4,247,99
PHIL RACE & MCDOWELL,COMPUTING TIPS,CREST PUBLISHING HOUSE,2004,131,195
COMPUTECH PUBLISHERS,SUPER COMPUTERS,COMPUTECH PUBLISHERS,2001,376,300
MANAHARI LOTIA NAIR & BIJAL LOTIA,"MODERN- AU , ABOUT HARD DISK DRIVE",BPB PUBLICATIONS,1997,516,150
"KEVIN KNIGHT, ELAIN RICH",ARTIFICAIL INTELIGENCE,TATA MC GRAW HILL EDITION,1991,621,
GEORGE REYNOLDS,ETHICS IN IT,THOMSON INDIA EDITION,2007,350,
DHANPAT RAI & CO,E- COMMERCE NEW VISITOR FOR BUSINESS,,2001,G.18,
OFFICE 2000,"MICHEL BUSBY, RUSSSELL A STULTZ",BPB PUBLICATIONS,,638,300
DATA COMMUNICATIONS & DISTRIBUTED NETWORKS,UYLESS D BLAKE,PRENTICE HALL OF INDIA PRIVATE LTD,200,426,
C PROGRAMMING IN LANGUAGE,TIJI THOMAS/ STEOHEN JAMES/ TERRY JACOB,PRAKASH PUBLICATIONS,2015,190,110
INTERNET WE DESIGNING AND CYBER LAWS,TIJI THOMAS/ STEOHEN JAMES/ TERRY JACOB,PRAKASH PUBLICATIONS,2016,216,110
"Tiji Thomas, Stephen James & Terry Jacob Mathew",Data Base Management System for Business,Prakash Publications,2016,224,120
Dr. P Rizwan Ahmed,E- Business & E- Commerce,Margham Publication,2015,,160
