PC Tripathi & PN Reddy,Principles of Management,Tata McGraw Hill Publishing Company Ltd,2001,323,-
TN Chhabra,Principles & Practice of Management,Dhanpat Rai & Co,2002,880,130
Ratnaja Gogula,Knowledge Management,ICFAI Press,2002,197,300
Colonel VRK Prasad,Managerial Effectiveness,ICFAI Press,2003,196,360
Harold Koontz & Heinz Weihrich,Essentials of management,Tata McGraw Hill Publishing Company Ltd,2001,530,-
"James A.F. Stoner , R. Edward & Daniel R. Gilbert J6",Management,Prentice- Hall of India Private Ltd.,2001,628,
BPP Learning Media,Mangament,Viva Books Private Ltd.,2009,730,495
Naveen Das,Management Insights,ICFAI Press,2004,161,300
Heinz Weihrich & Harold Koontz,Management,Tata McGraw Hill Publishing Company Ltd,2001,744,-
Arjun Kirpalani,Maximum Management,Excel Books,2002,279,185
Peter F Drucker,Managing in Turbulent Times,Harper Business,1980,237,15$
S.K Chakraborthy,Foundations of Managerial Works,Himalaya Publishing House,1998,335,150
L M Prasad,Principles & Practice 0f Management,Sultan Chand & Sons,2020,536,495
Dr. Shruti Mathur & Dr. C B Gupta,Management Principles & Applications,MKM Publisher's Pvt Ltd,2020,24.32 & A 17,425
