Francis Cherunilam,International Business,wheeler Publishing,2001,528,235
K Aswathappa,International Business,Tata McGraw Hill Publishing Company Ltd,2003,503,630
"Donal A Ball,Paul, Wendall & Michael S. Minor",International Business - The challenge of Global competition.,McGraw Hill Inc.,2002,710,900
G.R.K Murthy,Forex Markets,ICFAI Press,2004,163,300
Sentil Ganesan,Global Brands Case Studies,ICFAI Press,2002,175,300
"Aby Thomas, Sobith Mathew & Shijo Varghese",International Finance,Prakash Publications,2017,212,140
P.SUBBA RAO,INTERNATIONAL BUSINESS,HIMALAYA PUBLISHING HOUSE,2019,622,699
P.SUBBA RAO,INTERNATIONAL BUSINESS,HIMALAYA PUBLISHING HOUSE,2016,622,500
FRANCIS CHERUNILAM,INTERNATIONAL BUSINESS,PHI LEARNING PVT. LTD,2020,558,558
K ASWATHAPPA,INTERNATIONAL BUSINESS,MC GRAW HILL,2020,819,745
DR. C B GUPTA,INTERNATIONAL BUSINESS,S CHAND,2014,300,325
"CHARLES W HILL,THOMAS HULT,ROHIT MEHTANI",INTERNATIONAL BUSINESS,MC GRAW HILL,2019,835,560
SUMATI VARMA,FUNDAMENTALS OF INTERNATIONAL BUSINESS,PEARSON,,339,640
SUMATI VARMA,INTERNATIONAL BUSINESS,PEARSON,2018,310,
RAKESH MOHAN JOSHY,INTERNATIONAL BUSINESS,OXFORD UNIVERSITY PRESS,2019,912,850
