Author,Title,Publisher & Place,Year,No of Pages,Price
David Hunger & Thomas Wheelen,Essentials of Strategic Management,Prentice Hall of India,2002,125,203
"Sudhir Warier, A Nag & Saurabh Gupta",Strategic Management,Vikas Publishing House Pvt. Ltd,2013,,262
Dr. Arindam Ghosh,Strategic Management,Books & Allied (p) Ltd,2001,145,369
R. Srinivasan,Strategic Management,Prentice Hall of India,2002,175,240
Philip Sadler,Strategic Management,Kogan Page India Pvt. Ltd,"2,005.00$",295,272
Dr. Arindam Ghosh,Strategic Management,Books & Allied (p) Ltd,2001,145,369
VSP Rao & Hari Krishna,Strategic Management Text & Cases,"Excel Books, New Delhi",2003,295,709
Dhruba Dutta Chowdhary,Strategic Management - Theory and Practice,New Central Book Agency (P) Ltd.,2002,245,433
Azhar Kazmi,Business Policy & Strategic Management,Tata Megraw Hill Publihing Company Ltd.,2002,,619
Dr. K V Venugopal,Entrepreneurship Development & Project Management,"Prathibha Publications, Changanachery",2013,80,158
M M Abraham,Entrepreneurship Development & Project Management,Prakash Publication,2010,100,228
R V Badi & N V Badi,Entrepreneurship,Vrinda Publication,2005,250,643
Vijay Sathe,Corporate Entrepreneurship,Cambridge University Press,2004,4570,387
K R Sharma,Project Management,National Publishing House,2000,150,389
D Gopalakrishnan & V E Ramamurthi,Project Management,MC Millian Publication India Ltd.,2001,218,400
Harvey Maylor,Project Management,MC Millian Publication India Ltd.,2001,155,254
Dr. Vasant Desai,Project Management,Himalaya Publishing House,2001,240,591
Jack R Medredith & Samuel J Manttera,Project Management,John Willy & Sons,200,,616
K Nagaraja,Project Management,NewAge International (P) Ltd,2001,,508
Dr. Vasant Desai,Project Management & Entrepreneurship,Himalaya Publishing House,2002,190,328
Prasanna Chandra,Project Management,Tata Megraw Hill Publihing Company Ltd.,2002,,745
Dr. PT Vijayashan & Dr. H Alagarasi,Entrepreneurship and Small Business Management,Margham Publcation,2016,150,
